source;translation;type;module;status;customer
lang_code;cz;M;;T;N
lang_name;Čeština;M;;T;N
lang_english_name;Czech;M;;T;N
lang_author;Linhart.name;M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;dd/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;;M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;86;M;;T;N
"Error during copy of sample banner image %s.";"Chyba při kopírování vzorového obrázku banneru %s.";S;;T;N
"License";"Licence";S;;T;N
"You have to agree license.";"Musíte souhlasit s licencí.";B;;T;N
"Installation Completed";"Instalace je kompletní";B;;T;N
"Safe Mode";"Bezpečný mód";S;;T;N
"Display Errors";"Zobrazit chyby";S;;T;N
"File Uploads";"Nahrávání souborů";S;;T;N
"Register Globals";"Registrovat globální proměnné";S;;T;N
"Session Auto Start";"Automatický start session";S;;T;N
"On";"Zapnuto";B;;T;N
"Off";"Vypnuto";B;;T;N
"Configuration directory is writable";"Konfigurační adresář je otevřen pro zápis";S;;T;N
"Configuration directory has to be writable";"Konfigurační adresář musí být otevřen pro zápis";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Prosím, nastavte adresář %s a všechny jeho podadresáře zapisovatelné pro webserver.";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"V jakémkoliv systému můžete nastavit přístup použitím vašeho oblíbeného FTP klienta.";S;;T;N
"PHP include path";"Cesta pro PHP include";S;;T;N
"Could not set PHP include path";"Nelze nastavit cestu pro PHP include";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Prosím nakonfigurujte váš PHP aby mohl skript přenastavit include_path.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternativně můžete nastavit include_path (zahrnující cestu) přímo ve svém php.ini. include_path=%s";S;;T;N
"MySQL extension is installed";"MySQL rozšíření je nainstalováno";S;;T;N
"MySQL extension is not installed";"MySQL rozšířen není nainstalováno";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Prosím povolte podporu MySQL rozšíření. Více informací na http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"Verze MySQL je %s nebo vyšší";S;;T;N
"MySQL version is less then %s";"MySQL verze je nižší než %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Prosím nainstalujte MySQL verzi %s nebo vyšší. Vaše momentální verze je %s. Více informací na http://myqsl.net/";S;;T;N
"Select Language";"Vyberte jazyk";B;;T;N
"Please check system requirements and try again";"Prosím zkontrolujte systémové požadavky a zkuste to znovu";S;;T;N
"Welcome";"Vítejte";S;;T;N
"Error, you cannot deactivate Default campaign";"Chyba, nelze deaktivovat výchozí kampaň";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Nutno specifikovat status kampaně (pole rstatus)";S;merchant;T;N
"Campaigns";"Kampaně";B;;T;N
"Overview";"Přehled";B;;T;N
"Campaigns Manager";"Správa kampaní";S;merchant;T;N
"Banners";"Bannery";B;merchant;T;N
"Banners Manager";"Správa bannerů";S;merchant;T;N
"Affiliates";"Partneři";B;merchant;T;N
"Affiliates Manager";"Správa partnerů";S;merchant;T;N
"DirectLinks Urls";"Příme odkazy";S;merchant;T;N
"Transactions";"Transakce";S;merchant;T;N
"Raw clicks list";"Seznam všech prokliků";B;merchant;T;N
"Commissions";"Provize";B;;T;N
"Reports";"Zprávy";B;;T;N
"Quick report";"Rychlé zprávy";B;merchant;T;N
"Trends report";"Zpráva trendů";B;;T;N
"Payouts history";"Historie plateb";B;;T;N
"Payouts by affiliate";"Platby podle partnerů";B;merchant;T;N
"Payouts";"Platby";B;merchant;T;N
"Pay affiliates";"Vyplatit partnery";B;merchant;T;N
"Communication";"Komunikace";B;;T;N
"Send message";"Poslat zprávu";S;merchant;T;N
"Configuration";"Nastavení";B;merchant;T;N
"Tracking settings";"Nastavení sledování";B;merchant;T;N
"Affiliate panel";"Panel partnerů";B;merchant;T;N
"Tools";"Nástroje";B;;T;N
"Integration";"Začlenění";B;merchant;T;N
"Import / Export";"Import / Export";B;merchant;T;Y
"Event logs";"Log událostí";B;merchant;T;N
"Online users";"Uživatelé online";B;;T;N
"Database status";"Status databáze";B;;T;N
"User cannot be found";"Uživatel nenalezen";S;affiliate;T;N
"Email was successfully sent to merchant";"e-mail byl úspěšně odeslán obchodníkovi";S;affiliate;T;N
"Email notifications saved";"Upozorňování e-mailem nastaveno";S;;T;N
"Banner";"Banner";B;;T;Y
"none active";"žádný není aktivní";S;;T;N
"CPM";"CPM";B;;T;Y
"per click";"za kliknutí";B;;T;N
"per sale";"za prodej";B;;T;N
"ID";"ID";B;;T;Y
"Name";"Jméno";B;;T;N
"Description";"Popis";B;;T;N
"Status";"Status";B;;T;Y
"Date created";"Datum vytvoření";S;;T;N
"Actions";"Akce";B;;T;N
"Channel";"Kanál";B;;T;N
"User";"Uživatel";S;;T;N
"Channel name";"Název kanálu";S;affiliate;T;N
