source;translation;type;module;status;customer
lang_code;gr-GR;M;;T;N
lang_name;Greek;M;;T;N
lang_english_name;Greek;M;;T;N
lang_author;"Herbal Technologies B.V.";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;MM/d/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;92;M;;T;N
"Error during copy of sample banner image %s.";"Σφάλμα κατά τη διάρκεια αντιγραφής εικόνας banner %s.";S;;T;N
"License";"Άδεια";S;;T;N
"You have to agree license.";"Πρέπει να συμφωνήσετε άδεια.";B;;T;N
"Installation Completed";"Η εγκατάσταση ολοκληρώθηκε";B;;T;N
"Safe Mode";"Ασφαλή Λειτουργία";S;;T;N
"Display Errors";"Εμφάνιση Σφαλμάτων";S;;T;N
"File Uploads";"Ανέβασμα Αρχείων";S;;T;N
"Register Globals";"Καταχώριση Globals";S;;T;N
"Session Auto Start";"Αυτόματη Εκκίνηση ";S;;T;N
"On";"Ανοιχτό";B;;T;N
"Off";"Κλειστό";B;;T;N
"Configuration directory is writable";"Ρύθμιση καταλόγου είναι εγγράψιμη";S;;T;N
"Configuration directory has to be writable";"Ρύθμιση καταλόγου πρέπει να είναι εγγράψιμη";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Παρακαλούμε να κάνετε τον κατάλογο %s και όλους τους υποκαταλόγους εγγράψιμους από τον διακομιστή.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Στο unix-like συστήματα μπορείτε να πληκτρολογήσετε ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"Σε οποιοδήποτε σύστημα μπορείτε να ορίσετε δικαιώματα εγγραφής χρησιμοποιώντας το αγαπημένο σας πρόγραμμα FTP.";S;;T;N
"PHP include path";"PHP περιλαμβάνει διαδρομή";S;;T;N
"Could not set PHP include path";"Δεν μπόρεσε να οριστεί PHP περιλαμβάνει διαδρομή";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Παρακαλούμε ρυθμίστε το PHP σας έτσι ώστε το χειρόγραφο να μπορεί να αλλάξει περιλαμβάνει_διαδρομή.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Εναλλακτικά μπορείτε να ρυθμίσετε περιλαμβάνει_διαδρομή απευθείας στο php.ini. περιλαμβάνει_διαδρομή=%s";S;;T;N
"MySQL extension is installed";"MySQL επέκταση εγκαταστάθηκε";S;;T;N
"MySQL extension is not installed";"MySQL επέκταση δεν εγκαταστάθηκε";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Παρακλούμε ενεργοποιήστε την επέκταση MySQL . Περισσότερες πληροφορίες http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"MySQL έκδοση είναι  %s ή υψηλότερη";S;;T;N
"MySQL version is less then %s";"MySQL έκδοση είναι λιγότερο από  %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Παρακαλείστε να εγκαταστήσετε την  MySQL έκδοση %s ή υψηλότερη. Η τρέχουσα έκδοσή σας είναι  %s. Περισσότερες πληροφορίες http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Παρακαλείστε να ελέγξετε τις απαιτήσεις συστήματος και προσπαθήστε ξανά";S;;T;N
"Welcome";"Καλώς ήρθατε";S;;T;N
"Error, you cannot deactivate Default campaign";"Σφάλμα, δεν μπορείτε να απενεργοποιήσετε την Καμπάνια Προεπιλογής ";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Πρέπει να καθορίσετε την κατάσταση της καμπάνιας (rstatus field)";S;merchant;T;N
"Campaigns";"Καμπάνιες ";B;;T;N
"Overview";"Επισκόπηση";B;;T;N
"Campaigns Manager";"Διαχειριστής Καμπανιών";S;merchant;T;N
"Banners";"Banners";B;merchant;N;N
"Banners Manager";"Διαχειριστής Banners ";B;merchant;T;N
"Affiliates";"Θυγατρικοί";B;merchant;T;N
"Affiliates Manager";"Διαχειριστής Θυγατρικών";S;merchant;T;N
"DirectLinks Urls";"Άμεσοι Σύνδεσμοι Urls";S;merchant;T;N
"Transactions";"Συναλλαγές";S;merchant;T;N
"Raw clicks list";"Λίστα ανεπεξέργαστων κλικ";B;merchant;T;N
"Commissions";"Προμήθειες";B;;T;N
"Reports";"Εκθέσεις";B;;T;N
"Trends report";"Έκθεση Τάσεων ";B;;T;N
"Payouts history";"Ιστορία Πληρωμών";B;;T;N
"Payouts by affiliate";"Πληρωμές από θυγατρικούς";B;merchant;T;N
"Payouts";"Πληρωμές";B;merchant;T;N
"Pay affiliates";"Πληρωμή θυγατρικών";B;merchant;T;N
"Communication";"Επικοινωνία";B;;T;N
"Send message";"Αποστολή μηνύματος";S;merchant;T;N
"Configuration";"Διαμόρφωση";B;merchant;T;N
"Tracking settings";"Ρυθμίσεις Παρακολούθησης";B;merchant;T;N
"Affiliate panel";"Πίνακας Θυγατρικών";C;merchant;T;N
"Tools";"Εργαλεία";B;;T;N
"Integration";"Ολοκλήρωση";B;merchant;T;N
