source;translation;type;module;status;customer
lang_code;pt-br;M;;T;N
lang_name;"Português - Brasil";M;;T;N
lang_english_name;"Brazilian Portuguese";M;;T;N
lang_author;"Adailton, Marcus Dutra e Paulo Roberto dos Santos";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;dd/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;79;M;;T;N
"Error during copy of sample banner image %s.";"Erro durante a cópia da imagem do banner de exemplo %s.";S;;T;N
"License";"Licença";S;;T;N
"You have to agree license.";"Você deve concordar com a licença.";B;;T;N
"Installation Completed";"Instalação Completa";B;;T;N
"Safe Mode";"Modo seguro";S;;T;N
"Display Errors";"Mostrar erros";S;;T;N
"File Uploads";"Transferência de arquivos";S;;T;N
"Register Globals";"Registros Globais";S;;T;N
"Session Auto Start";"Início automático de sessão";S;;T;N
"On";"Ligado";B;;T;N
"Off";"Desligado";B;;T;N
"Configuration directory is writable";"O diretório de configurações tem permissão de gravação";S;;T;N
"Configuration directory has to be writable";"O diretório de configurações deve ter permissão de gravação";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Favor tornar diretórios %s e todos os subdiretórios com permissão de gravação pelo servidor.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"Em sistemas baseados em Linux	 você pode digitar ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"Em qualquer sistema você pode definir permissões de escrita utilizando o seu cliente de FTP favorito.";S;;T;N
"PHP include path";"PHP inclui caminho";S;;T;N
"Could not set PHP include path";"Não foi possível definir o PHP include_path";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Por favor configure o seu script PHP para que seja capaz de mudar include_path.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Alternativamente você pode ajustar o include_path diretamente no seu arquivo php.ini. include_path=%s";S;;T;N
"MySQL extension is installed";"Extensão MySQL está instalada";S;;T;N
"MySQL extension is not installed";"Extensão MySQL não está instalada";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Por favor, habilite a extensão MySQL. Maiores informações em http://php.net/mysql";S;;T;N
"MySQL version is %s or higher";"A versão do MySQL é a %s ou superior";S;;T;N
"MySQL version is less then %s";"A versão do MySQL é menor que %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Por favor, instale o MySQL versão %s ou superior. Sua versão atual é %s. Mais informações em http://myqsl.net/";S;;T;N
"Please check system requirements and try again";"Por favor, verifique os requisitos do sistema e tente novamente";S;;T;N
"Welcome";"Bem-vindo";S;;T;N
"Error, you cannot deactivate Default campaign";"Erro, você não pode desativar a campanha padrão";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Você deve especificar status de campanha (campo status)";S;merchant;T;N
"Campaigns";"Campanhas";B;;T;N
"Overview";"Visão Geral";B;;T;N
"Campaigns Manager";"Gerenciador de Campanhas";S;merchant;T;N
"Banners";"Banners";B;merchant;N;N
"Banners Manager";"Gerenciador de Banners";B;merchant;T;N
"Affiliates";"Afiliados";B;merchant;T;N
"Affiliates Manager";"Gerente de Afiliados";S;merchant;T;N
"DirectLinks Urls";"URLs de Links Diretos";S;merchant;T;N
"Transactions";"Transações";S;merchant;T;N
"Raw clicks list";"Lista de cliques brutos";B;merchant;T;N
"Commissions";"Comissões";B;;T;N
"Reports";"Relatórios";B;;T;N
"Trends report";"Relatório de tendências";B;;T;N
"Payouts history";"Histórico de pagamentos";B;;T;N
"Payouts by affiliate";"Pagamentos por afiliados";B;merchant;T;N
"Payouts";"Pagamentos";B;merchant;T;N
"Pay affiliates";"Pagar afiliados";B;merchant;T;N
"Communication";"Comunicação";B;;T;N
"Send message";"Enviar Mensagem";S;merchant;T;N
"Configuration";"Configurações";B;merchant;T;N
"Tracking settings";"Configurações de rastreamento";B;merchant;T;N
"Affiliate panel";"Painel de Afiliado";C;merchant;T;N
"Tools";"Ferramentas";B;;T;N
"Integration";"Integração";B;merchant;T;N
"Import / Export";"Importar / Exportar";B;merchant;T;N
"Event logs";"Registros de Eventos";B;merchant;T;N
"Online users";"Usuários Online";B;;T;N
"Database status";"Status do banco de dados";B;;T;N
"User cannot be found";"Usuário não pode ser encontrado";S;affiliate;T;N
"Email was successfully sent to merchant";"O email foi enviado com êxito ao Anunciante";S;affiliate;T;N
"Email notifications saved";"Notificações de email gravadas";S;;T;N
"Banner";"Banner";B;;N;N
"none active";"nenhum ativo";S;;T;N
"per click";"por clique";B;;T;N
"per sale";"por venda";B;;T;N
"ID";"ID";B;;N;N
"Name";"Nome";B;;T;N
"Description";"Descrição";B;;T;N
"Status";"Status";B;;N;N
"Date created";"Data de criação";S;;T;N
"Actions";"Ações";B;;T;N
"Channel";"Canal";B;;T;N
"Failed to save %s field(s). Data with value '";"Falha ao salvar %s campo(s). Dados com valor '";S;affiliate;T;N
"Failed to save %s field(s)";"Falha ao salvar %s campo(s)";S;;T;N
"%s field(s) successfully saved";"%s campo(s) salvo(s) com êxito";S;;T;N
"User";"Usuário";S;;T;N
"Channel name";"Nome do Canal";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"A amostra não corresponde à URL; verificar seu modelo.";S;affiliate;T;N
"Pattern matched the URL";"Modelo corresponde à URL";S;affiliate;T;N
"Login";"Entrar";B;;T;N
"First name";"Nome";B;;T;N
"Last name";"Sobrenome";B;;T;N
"Referral ID";"Código de Afiliado";B;;T;N
"I agree with terms & conditions";"Eu concordo com os Termos  & Condições";B;;T;N
"Cannot find invoice";"Não é possível encontrar a fatura";S;;T;N
"Affiliate";"Afiliado";B;;T;N
"Date of registration";"Data de registro";S;affiliate;T;N
"% in total sales";"% em total de venda";S;affiliate;T;N
"% of total sales";"% de total de vendas";S;affiliate;T;N
"% of total commissions";"% de total de comissões";S;affiliate;T;N
"Commission";"Comissão";B;;T;N
"Total cost";"Custo Total";B;;T;N
"Order ID";"ID de Pedido";B;;T;N
"Product ID";"ID de Produto";B;;T;N
"Created";"Criado";B;;T;N
"Campaign Name";"Nome da Campanha";B;;T;N
"Type";"Tipo";B;;T;N
"Affiliate username";"Nome de usuário do afiliado";S;;T;N
"Paid";"Pago";B;;T;N
"Ip";"IP";S;;N;N
"Referer";"Patrocinador";B;;T;N
"Recurring commison id";"ID de comissão recorrente";S;;T;N
"Payout history id";"ID do histórico de pagamento";S;;T;N
"Click count";"Contagem de cliques";S;;T;N
"First click time";"Horário do primeiro clique";S;;T;N
"First click referer";"Patrocinador do primeiro clique";S;;T;N
"First click ip";"IP do primeiro clique";S;;T;N
"First click data 1";"Dado 1 do primeiro clique";S;;T;N
"First click data 2";"Dado 2 do primeiro clique";S;;T;N
"Last click time";"Horário do último clique";S;;T;N
"Last click referer";"Indicador do último clique";S;;T;N
"Last click ip";"IP do último clique";S;;T;N
"Last click data 1";"Dado 1 do último clique";S;;T;N
"Last click data 2";"Dado 2 do último clique";S;;T;N
"Extra data 1";"Dado Extra 1";B;;T;N
"Extra data 2";"Dado Extra 2";B;;T;N
"Extra data 3";"Dado Extra 3";S;;T;N
"Extra data 4";"Dado Extra 4";S;;T;N
"Extra data 5";"Dado Extra 5";S;;T;N
"Merchant note";"Nota do Anunciante";B;;T;N
"Banner name";"Nome do Banner";S;merchant;T;N
"Banner preview";"Pré-visualização do Banner";S;merchant;T;N
"Campaign";"Campanha";B;;T;N
"Target URL";"URL alvo";B;;T;N
"Banner type";"Tipo do Banner";S;;T;N
"Html data is not defined";"Dados HTML não estão definidos";S;;T;N
"File name is not defined";"Nome do arquivo não definido";S;;T;N
"unknown";"Desconhecido";B;;T;N
"approved";"Aprovado";B;;T;N
"pending";"Pendente";B;;T;N
"User Id";"ID de usuário";S;;T;N
"Payment date";"Data de pagamento";S;;T;N
"Username";"Usuário";B;;T;N
"Amount";"Quantia";B;;T;N
"Note to affiliate";"Nota para o afiliado";S;;T;N
"Original currency ID";"ID da moeda original";S;;T;N
"Original currency rate";"Taxa da moeda original";S;;T;N
"Original currency value";"Valor da moeda original";S;;T;N
"System note";"Nota do sistema";B;;T;N
"Country code";"Código do país";S;;T;N
"Affiliate first name";"Nome do afiliado";S;;T;N
"Affiliate last name";"Sobrenome do afiliado";S;;T;N
"3rd party cookie";"Cookie secundário";B;;T;N
"1st party cookie";"Cookie primário";B;;T;N
"Flash cookie";"Cookie de Flash";B;;T;N
"Forced parameter";"Parâmetro forçado";B;;T;N
"IP address";"Endereço IP";B;;T;N
