source;translation;type;module;status;customer
lang_code;pl;M;;T;N
lang_name;Polski;M;;T;N
lang_english_name;Polish;M;;T;N
lang_author;4business4you&shievy;M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;dd/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;;M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;90;M;;T;N
"Could not backup changed theme resource file %s (%s)";"Nie można zrobić backupu pliku źródłowego zmienionego motywu %s (%s)";S;;T;N
"Column %s contains unallowed characters";"Kolumna %s zawiera niedopuszczalne znaki";S;;T;N
"Default country changed";"Zmieniono domyślny kraj";S;;T;N
"Error changing default country";"Błąd podczas zmiany domyślnego kraju";S;;T;N
"Affiliate screen successfully deleted";"Pomyślnie skasowano ekran Partnera";S;merchant;T;N
"Referral ID can contain only [a-zA-Z0-9_-] characters";"ID Referencyjne (Referral ID) może zawierać tylko znaki: [a-z A-Z 0-9 _ -]";B;;T;N
"Screen %s is in menu and thus can not be deleted";"Ekran %s jest w menu, dlatego może zostać usunięty";S;affiliate;T;N
"Load IP details";"Załaduj szczegóły IP";C;;T;N
"Add custom translation";"Dodaj własne tłumaczenie";C;;T;N
"Refresh grid";"Odśwież siatkę";C;;T;N
"Configure";"Konfiguruj";C;;T;N
"Plugin Configuration";"Konfiguracja wtyczki/pluginu";C;;T;N
"Referral_ID_signup_Help";"Identyfikator Partnerski jest Twoją indywidualną nazwą, stosowaną przy rekomendacjach naszego Klubu. Będzie on wykorzystany we wszystkich oferowanych przez EKC narzędziach. Jego maksymalna długość może wynosić 20 znaków. Prosimy o staranne przemyślenie jego nazwy. Najbardziej optymalnym identyfikatorem jest imie.nazwisko.";C;;T;N
"Unknown commission type";"Nieznany typ prowizji";C;;T;N
"IntegrationMethodsDescription";"Proszę wybrać metodę integracji z systemem którego używasz. Jeśli nie możesz znaleźć odpowiedniej metody, należy użyć domyślej. W przypadku jej nieprawidłowego działania skontaktuj się z naszym Działem Obsługi Klienta w celu uzyskania wsparcia. ";C;merchant;T;N
"No integration method selected. Please select integration method from list.";"Nie wybrano metody integracji. Proszę ją wybrać z poniższej listy.";C;merchant;T;N
"Check if you want to include payout options in the signup form";"Zaznacz, jeżeli chcesz umieścić opcje wypłaty w formularzu rejestracyjnym";C;merchant;T;N
"Set if the affiliate should be approved automatically, or left in pending state for manual approval by merchant.";"Tutaj ustalasz czy Partner powinien zostać zatwierdzony automatycznie, czy po akceptacji Administratora.";C;merchant;T;N
"Action after signup";"Postępowanie po rejestracji";C;;T;N
