source;translation;type;module;status;customer
lang_code;et;M;;T;N
lang_name;Eesti;M;;T;N
lang_english_name;Estonian;M;;T;N
lang_author;"Feliks Stavitski";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;DD/MM/YYYY;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;8;M;;T;N
"License";"Litsents";S;;T;N
"On";"Sees";B;;T;N
"Off";"Väljas";B;;T;N
"Welcome";"Tervist";S;;T;N
"Campaigns";"Kampaaniad";B;;T;N
"Overview";"ülevaade";B;;T;N
"Banners";"Bannerid";B;merchant;T;N
"Affiliates";"Affiliated";B;merchant;T;N
"Transactions";"Tehingud";S;merchant;T;N
"Commissions";"Komisjonitasud";B;;T;N
"Reports";"Raportid";B;;T;N
"Payouts";"Väljamaksed";B;merchant;T;N
"Communication";"Suhtlus";B;;T;N
"Configuration";"Konfigureerimine";B;merchant;T;N
"Tools";"Tööriistad";B;;T;N
"Integration";"Integratsioon";B;merchant;T;N
"Banner";"Banner";B;;N;N
"ID";"Id";B;;T;N
"Name";"Nimi";B;;T;N
"Description";"Kirjeldus";B;;T;N
"Status";"Staatus";B;;T;N
"Actions";"Tegevused";B;;T;N
"Channel";"Kanalid";B;;T;N
"User";"Kasutaja";S;;T;N
"Login";"Logi sisse";B;;T;N
"Affiliate";"Affiliate";B;;N;N
"Commission";"Vahendustasu";B;;T;N
"Created";"Loodud";B;;T;N
"Type";"Tüüp";B;;T;N
"Paid";"makstud";B;;T;N
"Ip";"IP";S;;N;N
"Referer";"Soovitaja";B;;T;N
"Campaign";"Kampaania";B;;T;N
"unknown";"Tundmatu";B;;T;N
"approved";"Heaks kiidetud";B;;T;N
"pending";"Ootel";B;;T;N
"Username";"Kasutajanimi";B;;T;N
"Amount";"Kogus";B;;T;N
"Url";"URL";B;;N;N
"Note";"Märge";B;;T;N
"Password";"Parool";B;;T;N
"TotalCost";"Kogumaksumus";S;;T;N
"Imps";"Impr";S;merchant;T;N
"Clicks";"klikke";B;;T;N
"CTR";"CTR";S;;N;N
"Order";"Tellimus";B;merchant;T;N
"Default";"Vaikimisi";B;;T;N
"Symbol";"Sümbol";B;;T;N
"Precision";"Täpsusaste";B;;T;N
"NEW";"Uus";B;;T;N
"Currency";"Valuuta";B;;T;N
"Email";"e-mail";B;;T;N
