source;translation;type;module;status;customer
lang_code;ru;M;;T;N
lang_name;Русский;M;;T;N
lang_english_name;Russian;M;;T;N
lang_author;"PostAffiliatePro.ru, big-wall-posters.com";M;;T;N
lang_version;4.5.86.0;M;;T;N
lang_date_format;dd/MM/yyyy;M;;T;N
lang_time_format;HH:mm:ss;M;;T;N
lang_thousands_separator;" ";M;;T;N
lang_decimal_separator;.;M;;T;N
lang_transaltion_percentage;100;M;;T;N
"Error during copy of sample banner image %s.";"Ошибка при копировании образца баннера %s.";S;;T;N
"License";"Лицензия";S;;T;N
"You have to agree license.";"Вы должны согласиться с условиями лицензии.";B;;T;N
"Installation Completed";"Установка завершена";B;;T;N
"Safe Mode";"Безопасный режим";S;;T;N
"Display Errors";"Показывать ошибки";S;;T;N
"File Uploads";"Передача файлов";S;;T;N
"Register Globals";"Регистрировать глобальные переменные";S;;T;N
"Session Auto Start";"Автоматическое начало сессии";S;;T;N
"On";"Вкл.";B;;T;N
"Off";"Выкл.";B;;T;N
"Configuration directory is writable";"Запись в директорию настроек разрешена";S;;T;N
"Configuration directory has to be writable";"Запись в директорию настроек должна быть разрешена";S;;T;N
"Please make directory %s and all subdirectories writable by webserver.";"Пожалуйста, разрешите запись в директорию %s и все поддиректории.";S;;T;N
"On unix-like systems you can type ""chmod -R 777 %s"".";"На системах семейства Unix вы можете набрать ""chmod -R 777 %s"".";S;;T;N
"On any system you can set write permissions using your favourite FTP client.";"Вы можете установить разрешения на запись на любой системе с помощью вашего предпочитаемого FTP-клиента.";S;;T;N
"PHP include path";"Путь к PHP include";S;;T;N
"Could not set PHP include path";"Невозможно установить путь к PHP include";S;;T;N
"Please configure your PHP so that script is able to change include_path.";"Пожалуйста, настройте PHP так, чтобы скрипт мог изменить include_path.";S;;T;N
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Альтернативный вариант - вы можете самостоятельно указать include_path в файле php.ini. include_path=%s";S;;T;N
"MySQL extension is installed";"Расширение MySQL установлено";S;;T;N
"MySQL extension is not installed";"Расширение
MySQL не установлено";S;;T;N
"Please enable MySQL extension. More info http://php.net/mysql";"Пожалуйста, включите расширение MySQL. Подробная информация на http://www.mysql.ru/docs/man/";S;;T;N
"MySQL version is %s or higher";"Версия MySQL %s или выше";S;;T;N
"MySQL version is less then %s";"Версия MySQL ниже %s";S;;T;N
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Пожалуйста, установите версию MySQL %s или выше. Ваша текущая версия %s. Подробная информация: http://www.mysql.ru/docs/";S;;T;N
"Please check system requirements and try again";"Пожалуйста, проверьте системные требования и попробуйте снова";S;;T;N
"Welcome";"Приветствие";S;;T;N
"Error, you cannot deactivate Default campaign";"Ошибка, вы не можете деактивировать кампанию, выбранную по умолчанию";S;merchant;T;N
"You have to specify status of campaign (rstatus field)";"Вам надо указать статус кампании (поле rstatus)";S;merchant;T;N
"Campaigns";"Кампании";B;;T;N
"Overview";"Обзор";B;;T;N
"Campaigns Manager";"Работа с кампаниями";S;merchant;T;N
"Banners";"Баннеры";B;merchant;T;N
"Banners Manager";"Работа с баннерами";B;merchant;T;N
"Affiliates";"Партнеры";B;merchant;T;N
"Affiliates Manager";"Работа с партнерами";S;merchant;T;N
"DirectLinks Urls";"URL-адреса прямых ссылок";S;merchant;T;N
"Transactions";"Транзакции";S;merchant;T;N
"Raw clicks list";"Список кликов";B;merchant;T;N
"Commissions";"Комиссии";B;;T;N
"Reports";"Отчеты";B;;T;N
"Trends report";"Диаграммы";B;;T;N
"Payouts history";"История выплат";B;;T;N
"Payouts by affiliate";"Выплаты по партнерам";B;merchant;T;N
"Payouts";"Выплаты";B;merchant;T;N
"Pay affiliates";"Заплатить партнерам";B;merchant;T;N
"Communication";"Общение";B;;T;N
"Send message";"Отправить сообщение";S;merchant;T;N
"Configuration";"Конфигурация";B;merchant;T;N
"Tracking settings";"Настройки отслеживания";B;merchant;T;N
"Affiliate panel";"Панель управления партнера";C;merchant;T;N
"Tools";"Инструменты";B;;T;N
"Integration";"Интеграция";B;merchant;T;N
"Import / Export";"Импорт / Экспорт";B;merchant;T;N
"Event logs";"Журналы событий";B;merchant;T;N
"Online users";"Пользователи в сети";B;;T;N
"Database status";"Статус базы данных";B;;T;N
"User cannot be found";"Пользователь не найден";S;affiliate;T;N
"Email notifications saved";"Уведомления электронной почты сохранены";S;;T;N
"Banner";"Баннер";B;;T;N
"none active";"нет активных";S;;T;N
"per click";"за клик";B;;T;N
"per sale";"за продажу";B;;T;N
"ID";"Id";B;;T;N
"Name";"Название";B;;T;N
"Description";"Описание";B;;T;N
"Status";"Статус";B;;T;N
"Date created";"Создан";S;;T;N
"Actions";"Действия";B;;T;N
"Channel";"Канал";B;;T;N
"Failed to save %s field(s). Data with value '";"Не удалось сохранить %s поля(-ей). Данные со значением '";S;affiliate;T;N
"Failed to save %s field(s)";"Не удалось сохранить %s поля(-ей)";S;;T;N
"%s field(s) successfully saved";"%s поля(-ей) сохранены";S;;T;N
"User";"Пользователь";S;;T;N
"Channel name";"Название канала";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"Шаблон не совпадает с URL-адресом, проверьте свой шаблон";S;affiliate;T;N
"Pattern matched the URL";"Шаблон совпал с URL-адресом";S;affiliate;T;N
"Login";"Логин";B;;T;N
"First name";"Имя";B;;T;N
"Last name";"Фамилия";B;;T;N
"Referral ID";"ID для партнерской ссылки";B;;T;N
"I agree with terms & conditions";"Я принимаю Условия и положения";B;;T;N
"Cannot find invoice";"Не удалось найти счет";S;;T;N
"Affiliate";"Партнер";B;;T;N
"Date of registration";"Дата регистрации";S;affiliate;T;N
"% in total sales";"% в общих продажах";S;affiliate;T;N
"% of total sales";"% общих продаж";S;affiliate;T;N
